"Gen1","Gene2","Symbol1","Symbol2","Table Names","Weighted Correlation","Confidence"
"FBgn0004907","FBgn0000083","14-3-3zeta","AnxB9","PPI: Curagen two-hybrid",".6324",".546"
"FBgn0004907","FBgn0011695","14-3-3zeta","EbpIII","PPI: Curagen two-hybrid","-.273",".298"
"FBgn0004907","FBgn0038197","14-3-3zeta","foxo","PPI: Flybase Curated PPI|PPI: From other databases","-.0241",".298"
"FBgn0004907","FBgn0005198","14-3-3zeta","gig","PPI: Flybase Curated PPI|PPI: From other databases",".0812",".435"
"FBgn0004907","FBgn0261602","14-3-3zeta","RpL8","PPI: Curagen two-hybrid",".0521",".193"
"FBgn0260793","FBgn0037874","2mit","Tctp","PPI: Curagen two-hybrid","-.3465",".388"
"FBgn0260793","FBgn0005642","2mit","wdn","PPI: Curagen two-hybrid","-.2457",".424"
"FBgn0052016","FBgn0024491","4E-T","Bin1","PPI: Curagen two-hybrid",".6641",".379"
"FBgn0052016","FBgn0052409","4E-T","CG32409","PPI: Curagen two-hybrid",".5736",".4"
"FBgn0052016","FBgn0015222","4E-T","Fer1HCH","PPI: Curagen two-hybrid","-.3231",".4"
"FBgn0052016","FBgn0036462","4E-T","mRpL39","PPI: Curagen two-hybrid",".5071",".453"
"FBgn0052016","FBgn0066084","4E-T","RpL41","PPI: Curagen two-hybrid",".2118",".398"
"FBgn0028965","FBgn0003130","A16","Poxn","PPI: Curagen two-hybrid",".2166",".512"
"FBgn0028965","FBgn0261602","A16","RpL8","PPI: Curagen two-hybrid","-.1097",".198"
"FBgn0028965","FBgn0036044","A16","Zasp67","PPI: Curagen two-hybrid","-.3025",".6"
"FBgn0023130","FBgn0002521","a6","pho","PPI: Curagen two-hybrid",".7358",".448"
"FBgn0031851","FBgn0029936","Aatf","CG4617","PPI: Curagen two-hybrid",".7502",".269"
"FBgn0031851","FBgn0261535","Aatf","l(2)34Fd","PPI: Curagen two-hybrid",".8959",".43"
"FBgn0031851","FBgn0011272","Aatf","RpL13","PPI: Curagen two-hybrid","-.1627",".225"
"FBgn0031851","FBgn0001990","Aatf","wek","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid",".6656",".318"
"FBgn0000014","FBgn0000157","abd-A","Dll","PPI: Flybase Curated PPI",".4835",".452"
"FBgn0000014","FBgn0011648","abd-A","Mad","PPI: Flybase Curated PPI","-",".436"
"FBgn0000015","FBgn0051973","Abd-B","Cda5","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.1929",".5"
"FBgn0000015","FBgn0036716","Abd-B","CG13728","PPI: Curagen two-hybrid","-.0959",".456"
"FBgn0000015","FBgn0031174","Abd-B","CG1486","PPI: Curagen two-hybrid",".4724",".428"
"FBgn0000015","FBgn0028837","Abd-B","CSN6","PPI: Curagen two-hybrid",".1955",".355"
"FBgn0000015","FBgn0000559","Abd-B","eEF2","PPI: Curagen two-hybrid",".5599",".232"
"FBgn0000015","FBgn0034372","Abd-B","Gint3","PPI: Curagen two-hybrid",".0429",".406"
"FBgn0000015","FBgn0260817","Abd-B","gkt","PPI: Curagen two-hybrid","-.1247",".38"
"FBgn0000015","FBgn0053207","Abd-B","pxb","PPI: Curagen two-hybrid",".8629",".546"
"FBgn0000015","FBgn0283473","Abd-B","S6KL","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid","-.0729",".601"
"FBgn0000017","FBgn0000578","Abl","ena","PPI: Flybase Curated PPI|PPI: From other databases",".5324",".346"
"FBgn0011273","FBgn0034599","Acam","hng1","PPI: Finley lab two-hybrid|PPI: Curagen two-hybrid|PPI: From other databases",".6827",".333"
"FBgn0011273","FBgn0034726","Acam","Mes4","PPI: Curagen two-hybrid","-.1575",".327"
"FBgn0033246","FBgn0036950","ACC","CG6996","PPI: Finley lab two-hybrid","-.0375",".287"
"FBgn0027620","FBgn0043002","Acf","Chrac-14","PPI: Flybase Curated PPI|PPI: From other databases",".7967",".586"
"FBgn0010100","FBgn0261955","Acon","kdn","PPI: Flybase Curated PPI",".782",".414"
"FBgn0000044","FBgn0034577","Act57B","cpa","PPI: Flybase Curated PPI|PPI: From other databases","-.242",".272"
"FBgn0000042","FBgn0038206","Act5C","twf","PPI: From other databases",".2317",".268"
"FBgn0000045","FBgn0263006","Act79B","SERCA","PPI: Curagen two-hybrid",".8451",".365"
"FBgn0000046","FBgn0003231","Act87E","ref(2)P","PPI: Curagen two-hybrid","-.1571",".294"
"FBgn0000046","FBgn0066084","Act87E","RpL41","PPI: Curagen two-hybrid","-.3089",".297"
"FBgn0000667","FBgn0027291","Actn","l(1)G0156","PPI: Flybase Curated PPI|PPI: From other databases",".6165",".333"
"FBgn0037555","FBgn0030891","Ada2b","Ada3","PPI: Curagen two-hybrid|PPI: Flybase Curated PPI|PPI: From other databases",".7554",".362"
"FBgn0037555","FBgn0031453","Ada2b","Bacc","PPI: Curagen two-hybrid",".1781",".276"
"FBgn0037555","FBgn0025463","Ada2b","Bap60","PPI: Curagen two-hybrid",".7228",".308"
"FBgn0037555","FBgn0038566","Ada2b","CG14317","PPI: Curagen two-hybrid",".4397",".266"
"FBgn0037555","FBgn0031132","Ada2b","CG15450","PPI: Curagen two-hybrid","-.2942",".27"
"FBgn0037555","FBgn0023526","Ada2b","CG2865","PPI: Curagen two-hybrid",".4946",".246"
"FBgn0037555","FBgn0052104","Ada2b","CG32104","PPI: Curagen two-hybrid",".6487",".301"
"FBgn0037555","FBgn0038108","Ada2b","CG7518","PPI: Curagen two-hybrid",".5818",".29"
"FBgn0037555","FBgn0036888","Ada2b","CG9330","PPI: Curagen two-hybrid",".3828",".221"
"FBgn0037555","FBgn0024996","Ada2b","eIF2Bbeta","PPI: Curagen two-hybrid",".2189",".236"
