Node	Up_pos_nodes
FBgn0015797	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0033075', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0039713	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0033075', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0034416	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0033075', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0003942	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0033075', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0011661	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0033075', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0036155	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0035640	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0260943	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0004862', 'FBgn0045759', 'FBgn0036257', 'FBgn0011723', 'FBgn0000490', 'FBgn0003256', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0267698	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0004862', 'FBgn0036257', 'FBgn0003256', 'FBgn0011723', 'FBgn0000490', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
FBgn0032588	{'FBgn0002643', 'FBgn0003900', 'FBgn0000709', 'FBgn0020620', 'FBgn0003041', 'FBgn0004862', 'FBgn0036257', 'FBgn0003256', 'FBgn0011723', 'FBgn0000490', 'FBgn0003391', 'FBgn0004864', 'FBgn0000533', 'FBgn0038134', 'FBgn0266756', 'FBgn0034514', 'FBgn0267487', 'FBgn0003300', 'FBgn0004053', 'FBgn0087012', 'FBgn0024273', 'FBgn0259685', 'FBgn0261020', 'FBgn0000659', 'FBgn0003430', 'FBgn0085432', 'FBgn0003079', 'FBgn0024958', 'FBgn0003514', 'FBgn0000117', 'FBgn0020299', 'FBgn0036985', 'FBgn0000719', 'FBgn0003313', 'FBgn0261434', 'FBgn0023172', 'FBgn0000014', 'FBgn0000606', 'FBgn0026479', 'FBgn0003507', 'FBgn0026192', 'FBgn0000251', 'FBgn0020251', 'FBgn0026319', 'FBgn0011648', 'FBgn0003720', 'FBgn0264089', 'FBgn0026181', 'FBgn0086677', 'FBgn0011202', 'FBgn0036298', 'FBgn0028292', 'FBgn0004359', 'FBgn0000017', 'FBgn0008651', 'FBgn0000077', 'FBgn0004052', 'FBgn0003716', 'FBgn0001105', 'FBgn0003525', 'FBgn0261988', 'FBgn0003731', 'FBgn0000384', 'FBgn0000233', 'FBgn0040206', 'FBgn0003205', 'FBgn0003733', 'FBgn0010215', 'FBgn0028978', 'FBgn0004921', 'FBgn0014020', 'FBgn0010389', 'FBgn0003719', 'FBgn0033649', 'FBgn0261445', 'FBgn0004657', 'FBgn0004863', 'FBgn0004110', 'FBgn0250843', 'FBgn0002941', 'FBgn0003448', 'FBgn0039851'}
