Edge1	Edge2
FBgn0003892	FBgn0004657
FBgn0042102	FBgn0264895
FBgn0000709	FBgn0030699
FBgn0004110	FBgn0013435
FBgn0260634	FBgn0034514
FBgn0010198	FBgn0026175
FBgn0002783	FBgn0004862
FBgn0011648	FBgn0042102
FBgn0001978	FBgn0001105
FBgn0035168	FBgn0003448
FBgn0085408	FBgn0001942
FBgn0011648	FBgn0030540
FBgn0000490	FBgn0003865
FBgn0010265	FBgn0003944
FBgn0003041	FBgn0261854
FBgn0011661	FBgn0266756
FBgn0033906	FBgn0261020
FBgn0038586	FBgn0030616
FBgn0003944	FBgn0015288
FBgn0003274	FBgn0260632
FBgn0067864	FBgn0259685
FBgn0265264	FBgn0260632
FBgn0001942	FBgn0028978
FBgn0030540	FBgn0000533
FBgn0031089	FBgn0038134
FBgn0037581	FBgn0039757
FBgn0039544	FBgn0032588
FBgn0008651	FBgn0001139
FBgn0264089	FBgn0004859
FBgn0001308	FBgn0039851
FBgn0259676	FBgn0036257
FBgn0000659	FBgn0037493
FBgn0011648	FBgn0000490
FBgn0032588	FBgn0259676
FBgn0028292	FBgn0027054
FBgn0004174	FBgn0010265
FBgn0260632	FBgn0020496
FBgn0003510	FBgn0265434
FBgn0000233	FBgn0010280
FBgn0003525	FBgn0038586
FBgn0086384	FBgn0012058
FBgn0000719	FBgn0025674
FBgn0260943	FBgn0045759
FBgn0259481	FBgn0010198
FBgn0030931	FBgn0000606
FBgn0011723	FBgn0039544
FBgn0004117	FBgn0024958
FBgn0000384	FBgn0025674
FBgn0036449	FBgn0003313
FBgn0026319	FBgn0000163
FBgn0010215	FBgn0000163
FBgn0250874	FBgn0250843
FBgn0033075	FBgn0000043
FBgn0011648	FBgn0003716
FBgn0039858	FBgn0085432
FBgn0015288	FBgn0003892
FBgn0264895	FBgn0261988
FBgn0003041	FBgn0026192
FBgn0026252	FBgn0003256
FBgn0033075	FBgn0011661
FBgn0039757	FBgn0014366
FBgn0022764	FBgn0033649
FBgn0033541	FBgn0002643
FBgn0000405	FBgn0260634
FBgn0003205	FBgn0003731
FBgn0000077	FBgn0015614
FBgn0086677	FBgn0030837
FBgn0000017	FBgn0004106
FBgn0003865	FBgn0003463
FBgn0026192	FBgn0010504
FBgn0003720	FBgn0010217
FBgn0026319	FBgn0034502
FBgn0010217	FBgn0038862
FBgn0001139	FBgn0003430
FBgn0040078	FBgn0002783
FBgn0026181	FBgn0014020
FBgn0003900	FBgn0260632
FBgn0003391	FBgn0000117
FBgn0000117	FBgn0003944
FBgn0052451	FBgn0034743
FBgn0003719	FBgn0003463
FBgn0023172	FBgn0004638
FBgn0004052	FBgn0033264
FBgn0001105	FBgn0004921
FBgn0027054	FBgn0028689
FBgn0267487	FBgn0038037
FBgn0010280	FBgn0037555
FBgn0000405	FBgn0260943
FBgn0003720	FBgn0004863
FBgn0026181	FBgn0015797
FBgn0030830	FBgn0033906
FBgn0265434	FBgn0003514
FBgn0003300	FBgn0001139
FBgn0015614	FBgn0052451
FBgn0002941	FBgn0004174
FBgn0004106	FBgn0004052
FBgn0000251	FBgn0039757
FBgn0042174	FBgn0260632
FBgn0003944	FBgn0000559
FBgn0036985	FBgn0035168
FBgn0030668	FBgn0085432
FBgn0023172	FBgn0031450
FBgn0010504	FBgn0004359
FBgn0026479	FBgn0037581
FBgn0015797	FBgn0265434
FBgn0036257	FBgn0030830
FBgn0004859	FBgn0014366
FBgn0012058	FBgn0020251
FBgn0261854	FBgn0000163
FBgn0004638	FBgn0260632
FBgn0000017	FBgn0003731
FBgn0000117	FBgn0000163
FBgn0011648	FBgn0085432
FBgn0011648	FBgn0036449
FBgn0036298	FBgn0001942
FBgn0025674	FBgn0003944
FBgn0261434	FBgn0040345
FBgn0026175	FBgn0000719
FBgn0037555	FBgn0014366
FBgn0038037	FBgn0030616
FBgn0004052	FBgn0026252
FBgn0037493	FBgn0000251
FBgn0024811	FBgn0003731
FBgn0040206	FBgn0085408
FBgn0000117	FBgn0086384
FBgn0000117	FBgn0040078
FBgn0265434	FBgn0030931
FBgn0036257	FBgn0030668
FBgn0004864	FBgn0003079
FBgn0030837	FBgn0042174
FBgn0008651	FBgn0010265
FBgn0000559	FBgn0033541
FBgn0028689	FBgn0250843
FBgn0020299	FBgn0250874
FBgn0000014	FBgn0039858
FBgn0038037	FBgn0003274
FBgn0014366	FBgn0004863
FBgn0020299	FBgn0010389
FBgn0034502	FBgn0067864
FBgn0003944	FBgn0020238
FBgn0000251	FBgn0001308
FBgn0087012	FBgn0259481
FBgn0000382	FBgn0003733
FBgn0024273	FBgn0024811
FBgn0020496	FBgn0263933
FBgn0020238	FBgn0026317
FBgn0263933	FBgn0003448
FBgn0039395	FBgn0020620
FBgn0034743	FBgn0260632
FBgn0004052	FBgn0000405
FBgn0014366	FBgn0265264
FBgn0003944	FBgn0028689
FBgn0085432	FBgn0039395
FBgn0030699	FBgn0003510
FBgn0001139	FBgn0085432
FBgn0004053	FBgn0011648
FBgn0000043	FBgn0022764
FBgn0011661	FBgn0000117
FBgn0020238	FBgn0003079
FBgn0013435	FBgn0004863
FBgn0033264	FBgn0001978
FBgn0040345	FBgn0008646
FBgn0261434	FBgn0031089
FBgn0038862	FBgn0014020
FBgn0040206	FBgn0003079
FBgn0026317	FBgn0003507
FBgn0030716	FBgn0004117
FBgn0030616	FBgn0040206
FBgn0011202	FBgn0031450
FBgn0031450	FBgn0261445
FBgn0000559	FBgn0030716
FBgn0010217	FBgn0003731
FBgn0008646	FBgn0000490
FBgn0026252	FBgn0000382
