Node	Terminal(Y/N)
FBgn0012058	N
FBgn0033075	Y
FBgn0026175	N
FBgn0045759	Y
FBgn0011723	Y
FBgn0003391	Y
FBgn0008646	N
FBgn0004864	Y
FBgn0259676	N
FBgn0042174	N
FBgn0266756	Y
FBgn0037493	N
FBgn0003300	Y
FBgn0086384	N
FBgn0015614	N
FBgn0087012	Y
FBgn0004053	Y
FBgn0000659	Y
FBgn0000117	Y
FBgn0020299	Y
FBgn0000719	Y
FBgn0036985	Y
FBgn0261434	Y
FBgn0000014	Y
FBgn0039395	N
FBgn0022764	N
FBgn0011648	Y
FBgn0026319	Y
FBgn0026317	N
FBgn0264089	Y
FBgn0026181	Y
FBgn0263933	N
FBgn0011202	Y
FBgn0008651	Y
FBgn0265434	Y
FBgn0000077	Y
FBgn0000017	Y
FBgn0003716	Y
FBgn0004052	Y
FBgn0030837	N
FBgn0030540	N
FBgn0033541	N
FBgn0010198	N
FBgn0000384	Y
FBgn0039544	N
FBgn0030668	N
FBgn0040078	N
FBgn0085408	N
FBgn0031089	N
FBgn0259481	N
FBgn0033649	Y
FBgn0004106	N
FBgn0003719	Y
FBgn0010504	N
FBgn0000043	N
FBgn0011661	N
FBgn0030931	N
FBgn0010217	N
FBgn0260943	N
FBgn0003900	Y
FBgn0039858	N
FBgn0036257	Y
FBgn0003274	N
FBgn0000490	Y
FBgn0010280	N
FBgn0000559	N
FBgn0014366	N
FBgn0267487	Y
FBgn0004638	N
FBgn0003430	Y
FBgn0035168	N
FBgn0030716	N
FBgn0024958	Y
FBgn0003313	Y
FBgn0023172	Y
FBgn0033906	N
FBgn0000606	Y
FBgn0003463	Y
FBgn0003720	Y
FBgn0086677	Y
FBgn0031450	N
FBgn0036298	Y
FBgn0028292	Y
FBgn0001105	Y
FBgn0003892	N
FBgn0261988	Y
FBgn0038586	N
FBgn0020496	N
FBgn0015797	N
FBgn0003944	Y
FBgn0010215	Y
FBgn0003205	Y
FBgn0003733	Y
FBgn0034743	N
FBgn0250843	Y
FBgn0001942	N
FBgn0003448	Y
FBgn0024811	N
FBgn0004862	Y
FBgn0003510	N
FBgn0004117	N
FBgn0003256	Y
FBgn0037555	N
FBgn0033264	N
FBgn0003865	N
FBgn0260634	N
FBgn0250874	N
FBgn0030616	N
FBgn0038037	N
FBgn0259685	Y
FBgn0024273	Y
FBgn0036449	N
FBgn0085432	Y
FBgn0040345	N
FBgn0003514	Y
FBgn0002643	Y
FBgn0026479	Y
FBgn0264895	N
FBgn0026252	N
FBgn0003525	Y
FBgn0030699	N
FBgn0003731	Y
FBgn0000382	N
FBgn0038862	N
FBgn0015288	N
FBgn0000233	Y
FBgn0040206	Y
FBgn0025674	N
FBgn0002783	N
FBgn0004921	Y
FBgn0067864	N
FBgn0010389	Y
FBgn0004859	N
FBgn0261445	Y
FBgn0001308	N
FBgn0052451	N
FBgn0004110	Y
FBgn0020238	N
FBgn0027054	N
FBgn0000709	Y
FBgn0020620	Y
FBgn0003041	Y
FBgn0042102	N
FBgn0010265	N
FBgn0261854	Y
FBgn0000533	Y
FBgn0038134	Y
FBgn0039757	N
FBgn0001139	N
FBgn0003079	Y
FBgn0004174	N
FBgn0003507	Y
FBgn0000163	Y
FBgn0026192	Y
FBgn0000251	Y
FBgn0020251	Y
FBgn0028978	Y
FBgn0037581	N
FBgn0261020	Y
FBgn0028689	N
FBgn0004863	Y
FBgn0004359	Y
FBgn0034514	Y
FBgn0032588	N
FBgn0030830	N
FBgn0260632	Y
FBgn0265264	N
FBgn0014020	Y
FBgn0000405	N
FBgn0004657	Y
FBgn0001978	N
FBgn0034502	N
FBgn0013435	N
FBgn0002941	Y
FBgn0039851	Y
