Node	Up_pos_nodes
FBgn0261553	set(['FBgn0004110', 'FBgn0000533', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0000233', 'FBgn0033075', 'FBgn0261434', 'FBgn0026319', 'FBgn0020620', 'FBgn0261952', 'FBgn0003463', 'FBgn0004919', 'FBgn0000014', 'FBgn0000017', 'FBgn0261020', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0066365', 'FBgn0260632', 'FBgn0034514', 'FBgn0004921', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0010389', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000251', 'FBgn0000163', 'FBgn0000719', 'FBgn0036985', 'FBgn0020251', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0004359', 'FBgn0000808', 'FBgn0003720', 'FBgn0023172', 'FBgn0001105', 'FBgn0085432', 'FBgn0002941', 'FBgn0003944'])
FBgn0261552	set(['FBgn0000808', 'FBgn0003944', 'FBgn0266756', 'FBgn0023172'])
FBgn0004177	set(['FBgn0000077', 'FBgn0038134', 'FBgn0261854', 'FBgn0259685', 'FBgn0014020', 'FBgn0003391', 'FBgn0003719', 'FBgn0267487', 'FBgn0036298', 'FBgn0024273', 'FBgn0029906', 'FBgn0026479', 'FBgn0261988', 'FBgn0002577', 'FBgn0000233', 'FBgn0003256', 'FBgn0000606', 'FBgn0264089', 'FBgn0004956', 'FBgn0003300', 'FBgn0045759', 'FBgn0026181', 'FBgn0086677', 'FBgn0039704', 'FBgn0000117', 'FBgn0003900', 'FBgn0087012', 'FBgn0003716', 'FBgn0250843', 'FBgn0010215', 'FBgn0005590', 'FBgn0003430', 'FBgn0002643', 'FBgn0284435', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0085432', 'FBgn0004110', 'FBgn0000533', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0024958', 'FBgn0033075', 'FBgn0261952', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000719', 'FBgn0036985', 'FBgn0004359', 'FBgn0003720', 'FBgn0001105', 'FBgn0002941', 'FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0003463', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0066365', 'FBgn0004921', 'FBgn0010389', 'FBgn0000163', 'FBgn0260632', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0023172', 'FBgn0000808', 'FBgn0003944'])
FBgn0001308	set(['FBgn0004110', 'FBgn0000533', 'FBgn0011278', 'FBgn0003507', 'FBgn0034514', 'FBgn0051660', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0000233', 'FBgn0033075', 'FBgn0261434', 'FBgn0026319', 'FBgn0020620', 'FBgn0261952', 'FBgn0003463', 'FBgn0004919', 'FBgn0000014', 'FBgn0000017', 'FBgn0261020', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0066365', 'FBgn0260632', 'FBgn0036985', 'FBgn0004921', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0010389', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000251', 'FBgn0000163', 'FBgn0000719', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0004359', 'FBgn0000808', 'FBgn0003720', 'FBgn0023172', 'FBgn0001105', 'FBgn0085432', 'FBgn0002941', 'FBgn0003944'])
FBgn0010434	set(['FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0066365', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0003463', 'FBgn0260632', 'FBgn0004921', 'FBgn0010389', 'FBgn0036257', 'FBgn0004862', 'FBgn0000163', 'FBgn0000719', 'FBgn0036985', 'FBgn0020299', 'FBgn0266756', 'FBgn0004359', 'FBgn0000808', 'FBgn0003720', 'FBgn0023172', 'FBgn0001105', 'FBgn0002941', 'FBgn0003944'])
FBgn0042205	set(['FBgn0004110', 'FBgn0000533', 'FBgn0011278', 'FBgn0003507', 'FBgn0034514', 'FBgn0051660', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0000233', 'FBgn0033075', 'FBgn0261434', 'FBgn0026319', 'FBgn0020620', 'FBgn0261952', 'FBgn0003463', 'FBgn0004919', 'FBgn0000014', 'FBgn0000017', 'FBgn0261020', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0066365', 'FBgn0260632', 'FBgn0036985', 'FBgn0004921', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0010389', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000251', 'FBgn0284435', 'FBgn0000163', 'FBgn0000719', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0004359', 'FBgn0000808', 'FBgn0003720', 'FBgn0023172', 'FBgn0001105', 'FBgn0085432', 'FBgn0002941', 'FBgn0003944'])
FBgn0000576	set(['FBgn0011723', 'FBgn0003079', 'FBgn0024273', 'FBgn0033649', 'FBgn0011648', 'FBgn0028292', 'FBgn0000077', 'FBgn0038134', 'FBgn0261854', 'FBgn0259685', 'FBgn0014020', 'FBgn0003391', 'FBgn0003719', 'FBgn0267487', 'FBgn0036298', 'FBgn0003313', 'FBgn0029906', 'FBgn0026479', 'FBgn0261988', 'FBgn0002577', 'FBgn0000233', 'FBgn0003256', 'FBgn0000606', 'FBgn0264089', 'FBgn0004956', 'FBgn0003300', 'FBgn0045759', 'FBgn0026181', 'FBgn0086677', 'FBgn0039704', 'FBgn0000117', 'FBgn0003900', 'FBgn0087012', 'FBgn0003716', 'FBgn0250843', 'FBgn0010215', 'FBgn0005590', 'FBgn0003430', 'FBgn0002643', 'FBgn0284435', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0085432', 'FBgn0004110', 'FBgn0000533', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0024958', 'FBgn0033075', 'FBgn0261952', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000719', 'FBgn0036985', 'FBgn0004359', 'FBgn0003720', 'FBgn0001105', 'FBgn0002941', 'FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0003463', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0066365', 'FBgn0004921', 'FBgn0010389', 'FBgn0000163', 'FBgn0260632', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0023172', 'FBgn0000808', 'FBgn0003944'])
FBgn0014011	set(['FBgn0261854', 'FBgn0259685', 'FBgn0014020', 'FBgn0003391', 'FBgn0087012', 'FBgn0267487', 'FBgn0036298', 'FBgn0024273', 'FBgn0029906', 'FBgn0026479', 'FBgn0261988', 'FBgn0002577', 'FBgn0000233', 'FBgn0003256', 'FBgn0000606', 'FBgn0264089', 'FBgn0004956', 'FBgn0003300', 'FBgn0045759', 'FBgn0026181', 'FBgn0086677', 'FBgn0039704', 'FBgn0000117', 'FBgn0003900', 'FBgn0003719', 'FBgn0003716', 'FBgn0250843', 'FBgn0010215', 'FBgn0005590', 'FBgn0003430', 'FBgn0002643', 'FBgn0284435', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0085432', 'FBgn0004110', 'FBgn0000533', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0024958', 'FBgn0033075', 'FBgn0261952', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0036257', 'FBgn0003041', 'FBgn0004862', 'FBgn0004863', 'FBgn0004864', 'FBgn0000719', 'FBgn0036985', 'FBgn0004359', 'FBgn0003720', 'FBgn0001105', 'FBgn0002941', 'FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0003463', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0066365', 'FBgn0004921', 'FBgn0010389', 'FBgn0000163', 'FBgn0260632', 'FBgn0020299', 'FBgn0000659', 'FBgn0266756', 'FBgn0023172', 'FBgn0000808', 'FBgn0003944'])
FBgn0000499	set(['FBgn0038134', 'FBgn0261854', 'FBgn0259685', 'FBgn0014020', 'FBgn0003391', 'FBgn0087012', 'FBgn0267487', 'FBgn0036298', 'FBgn0024273', 'FBgn0029906', 'FBgn0026479', 'FBgn0261988', 'FBgn0002577', 'FBgn0000233', 'FBgn0003256', 'FBgn0000606', 'FBgn0264089', 'FBgn0004956', 'FBgn0003300', 'FBgn0045759', 'FBgn0026181', 'FBgn0086677', 'FBgn0039704', 'FBgn0000117', 'FBgn0003900', 'FBgn0003719', 'FBgn0003716', 'FBgn0250843', 'FBgn0010215', 'FBgn0005590', 'FBgn0003430', 'FBgn0002643', 'FBgn0284435', 'FBgn0039851', 'FBgn0039852', 'FBgn0028978', 'FBgn0026192', 'FBgn0020251', 'FBgn0085432', 'FBgn0004110', 'FBgn0000533', 'FBgn0004053', 'FBgn0004052', 'FBgn0003525', 'FBgn0008651', 'FBgn0003448', 'FBgn0000709', 'FBgn0024958', 'FBgn0033075', 'FBgn0261952', 'FBgn0003731', 'FBgn0003733', 'FBgn0261445', 'FBgn0003205', 'FBgn0000384', 'FBgn0011202', 'FBgn0036257', 'FBgn0003041', 'FBgn0000659', 'FBgn0004863', 'FBgn0004864', 'FBgn0000719', 'FBgn0036985', 'FBgn0004359', 'FBgn0003720', 'FBgn0001105', 'FBgn0002941', 'FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0003463', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0066365', 'FBgn0004921', 'FBgn0010389', 'FBgn0000163', 'FBgn0260632', 'FBgn0020299', 'FBgn0004862', 'FBgn0266756', 'FBgn0023172', 'FBgn0000808', 'FBgn0003944'])
FBgn0035168	set(['FBgn0261434', 'FBgn0004919', 'FBgn0011278', 'FBgn0003507', 'FBgn0051660', 'FBgn0000251', 'FBgn0261020', 'FBgn0026319', 'FBgn0020620', 'FBgn0066365', 'FBgn0034514', 'FBgn0000014', 'FBgn0000017', 'FBgn0003463', 'FBgn0260632', 'FBgn0004921', 'FBgn0010389', 'FBgn0036257', 'FBgn0004862', 'FBgn0000163', 'FBgn0036985', 'FBgn0020299', 'FBgn0266756', 'FBgn0004359', 'FBgn0000808', 'FBgn0003720', 'FBgn0023172', 'FBgn0001105', 'FBgn0002941', 'FBgn0003944'])
